division,latitude,longitude
{Les Valls} Teià; Barcelona; Cataluña,41.4964205,2.3218228
"{Avícola del Jarama} Arganda del Rey; Madrid; Madrid, Comunidad de",40.2884845,-3.5047675
{Urbanización el Pinar de Casinos} Casinos; València/Valencia; Comunitat Valenciana,39.6986762,-0.7081527
{Mas Pallí dels Vilars II} Calonge i Sant Antoni; Girona; Cataluña,41.8460093,3.0709681
{El Solei} Riudaura; Girona; Cataluña,42.1888537,2.4085624
{Os Currás} O Porriño; Pontevedra; Galicia,42.1663901,-8.6176535
{La Cueva} Arboleas; Almería; Andalucía,37.4048035,-2.0648623
{L'Esquerra del Fluvià} La Vall d'en Bas; Girona; Cataluña,42.1116405,2.4406387
{Vista Alegre} Manresa; Barcelona; Cataluña,41.39067500000001,2.1637122
{O Apeadeiro} Miño; A Coruña; Galicia,43.3539624,-8.1884949
"{Urbanización los Llanos} Serranillos del Valle; Madrid; Madrid, Comunidad de",40.185399,-3.8829364
{Urbanització los Picapiedra} Olocau; València/Valencia; Comunitat Valenciana,39.6692353,-0.5303405
{Urbanització los Picapiedra} Olocau; València/Valencia; Comunitat Valenciana,39.6692353,-0.5303405
{Cañada de los Perros} Telde; Las Palmas; Canarias,28.0305154,-15.4247775
{La Muntanya} Teià; Barcelona; Cataluña,41.4964205,2.3218228
{Castro} Teo; A Coruña; Galicia,42.8167647,-8.591227199999999
{Barís} Carballo; A Coruña; Galicia,43.16563,-8.6851586
{A Agrela} Teo; A Coruña; Galicia,42.782405,-8.6169877
{Cañada del Charco} Chiva; València/Valencia; Comunitat Valenciana,39.4573769,-0.6678402999999999
{Los Barrancos} Granadilla de Abona; Santa Cruz de Tenerife; Canarias,NA,NA
{Cañada de la Rosa} Valle Gran Rey; Santa Cruz de Tenerife; Canarias,28.0849625,-17.3338839
{El Collet} Calonge i Sant Antoni; Girona; Cataluña,41.8499872,3.1104778
{Iturburu} Iurreta; Bizkaia; País Vasco,43.1769964,-2.6271086
{Urbanització Tossal} Torres de Segre; Lleida; Cataluña,41.5340778,0.5141739
"{Urbanización Infanta Leonor} Lorca; Murcia; Murcia, Región de",37.6735925,-1.6968357
{Les Comes} Marçà; Tarragona; Cataluña,41.1266553,0.8026232999999999
{Los Patricios} Carboneras; Almería; Andalucía,37.0013319,-1.8899495
"{Casa Requena} Moratalla; Murcia; Murcia, Región de",38.2840213,-2.0435464
{Urbanització Jardins Palau} Calonge i Sant Antoni; Girona; Cataluña,41.86260840000001,3.0733708
"{Los Castillejos} Cartagena; Murcia; Murcia, Región de",37.66056349999999,-1.0924468
{Urbanització Jardins Palau} Calonge i Sant Antoni; Girona; Cataluña,41.86260840000001,3.0733708
{Urbanització Cabeza Redondo} Cheste; València/Valencia; Comunitat Valenciana,39.4903657,-0.6162318
{Urbanització Cabeza Redondo} Cheste; València/Valencia; Comunitat Valenciana,39.4903657,-0.6162318
{A Golpilleira} San Sadurniño; A Coruña; Galicia,43.5708438,-8.087103599999999
{Les Carreres} Maià de Montcal; Girona; Cataluña,42.2213489,2.7446554
{A Golpilleira} San Sadurniño; A Coruña; Galicia,43.5708438,-8.087103599999999
{Afores} Vilamalla; Girona; Cataluña,42.2225052,2.9725563
"{Frain} Igantzi; Navarra; Navarra, Comunidad Foral de",NA,NA
{Mun Di Deu} Barbadás; Ourense; Galicia,42.2991143,-7.887566100000001
{Barri Nord} Arenys de Munt; Barcelona; Cataluña,41.6188622,2.5427553
{Les Aldees} Sant Feliu de Codines; Barcelona; Cataluña,41.686493,2.1725468
{La Palanca} L'Escala; Girona; Cataluña,42.1198504,3.1227702
{La Geneta} Arbúcies; Girona; Cataluña,41.8165773,2.511129
{La Geneta} Arbúcies; Girona; Cataluña,41.8165773,2.511129
{Veïnat de Canyes} Sant Pere de Vilamajor; Barcelona; Cataluña,41.7059896,2.3912362
{Veïnat de Canyes} Sant Pere de Vilamajor; Barcelona; Cataluña,41.7059896,2.3912362
{Aviseiro} O Porriño; Pontevedra; Galicia,42.1576824,-8.6167644
{Mas de Moregons} El Catllar; Tarragona; Cataluña,41.1664902,1.2773891
{Partida Sant Joan de Ruanes} Puigpelat; Tarragona; Cataluña,41.2752417,1.275231
{Disseminats Mar} Premià de Dalt; Barcelona; Cataluña,41.5048954,2.3458198
{Sector F} Alcanar; Tarragona; Cataluña,40.54184619999999,0.4826954
{Barriada del Cuenco} Zaragoza; Zaragoza; Aragón,41.69135,-1.04457
{Benesa} La Romana; Alacant/Alicante; Comunitat Valenciana,38.3766491,-0.8887662000000001
{Benesa} La Romana; Alacant/Alicante; Comunitat Valenciana,38.3766491,-0.8887662000000001
{L'Avencó} Tagamanent; Barcelona; Cataluña,41.7647487,2.2623974
{Las Rabinadas} Porzuna; Ciudad Real; Castilla - La Mancha,39.1897911,-4.1527176
{La Mora} El Port de la Selva; Girona; Cataluña,42.337145,3.1900805
{Las Ávilas} Valle Gran Rey; Santa Cruz de Tenerife; Canarias,28.0849625,-17.3338839
{Las Ávilas} Valle Gran Rey; Santa Cruz de Tenerife; Canarias,28.0849625,-17.3338839
{El Colomer} Manresa; Barcelona; Cataluña,41.742951,1.8395318
{Os Curras} San Sadurniño; A Coruña; Galicia,43.5353302,-8.0637388
{Urbanització la Xarnada} Begur; Girona; Cataluña,41.9731543,3.2201122
{Els Angels} Alpicat; Lleida; Cataluña,41.6636463,0.5564953
{Las Lagunetas} Buenavista del Norte; Santa Cruz de Tenerife; Canarias,28.3337276,-16.8425998
{Urbanització la Xarnada} Begur; Girona; Cataluña,41.9731543,3.2201122
{A Estrada} Begonte; Lugo; Galicia,43.17906139999999,-7.640231900000001
{La Molina} Tíjola; Almería; Andalucía,37.3595635,-2.4394969
{Barri Orient} Arenys de Munt; Barcelona; Cataluña,41.60396220000001,2.5415473
{Broña} Outes; A Coruña; Galicia,42.8044586,-8.9258556
{El Vergel de la Planilla} Ricla; Zaragoza; Aragón,41.4786131,-1.3910331
{Cerdeirido} Miño; A Coruña; Galicia,43.3420656,-8.1788548
{Pla de Dalt} Sant Joan les Fonts; Girona; Cataluña,42.1855866,2.4705273
{Camiño Do Vilar} Lugo; Lugo; Galicia,42.97579890000001,-7.524812000000001
{Estrada Da Coruña} Lugo; Lugo; Galicia,43.0263642,-7.5679148
{A Cruz de Rante} San Cibrao das Viñas; Ourense; Galicia,42.2948445,-7.872840300000001
{Pego} O Porriño; Pontevedra; Galicia,42.1573279,-8.6126139
{Montellano-Las Casas} Galdames; Bizkaia; País Vasco,43.2894558,-3.142207
{Freixeneda} Sant Antoni de Vilamajor; Barcelona; Cataluña,41.67059769999999,2.3958528
{O Freixo} San Sadurniño; A Coruña; Galicia,43.6385286,-8.1082578
{Barri de Sant Antoni} Les Valls de Valira; Lleida; Cataluña,42.3610175,1.4738205
{Montellano-Las Casas} Galdames; Bizkaia; País Vasco,43.2894558,-3.142207
{Barri de Sant Antoni} Les Valls de Valira; Lleida; Cataluña,42.3610175,1.4738205
{Visouteiro} Miño; A Coruña; Galicia,43.3548637,-8.1717573
{El Alisal} Sopuerta; Bizkaia; País Vasco,43.2080026,-3.2118965
{A Praza} Santiago de Compostela; A Coruña; Galicia,42.8809401,-8.5454479
{La Costa} El Port de la Selva; Girona; Cataluña,NA,NA
"{Meaka Auzoa} Sunbilla; Navarra; Navarra, Comunidad Foral de",43.1616589,-1.6682611
{Pexeirós} Os Blancos; Ourense; Galicia,41.9768299,-7.7686189
{Cerqueiras} Mos; Pontevedra; Galicia,42.1794672,-8.62599
{Camino del Cerro} Méntrida; Toledo; Castilla - La Mancha,40.2316416,-4.1987434
{Pexeirós} Os Blancos; Ourense; Galicia,41.9768299,-7.7686189
{Las Casetas} Valle de Mena; Burgos; Castilla y León,NA,NA
{Cap de Terme} Atzeneta del Maestrat; Castelló/Castellón; Comunitat Valenciana,40.2163493,-0.1708686
{El Bonal} Porzuna; Ciudad Real; Castilla - La Mancha,39.2638041,-4.1916951
{O Pico} San Sadurniño; A Coruña; Galicia,43.5247647,-8.0187358
{Caseta} Celanova; Ourense; Galicia,42.1383517,-7.941831
{Kanala} Sukarrieta; Bizkaia; País Vasco,NA,NA
{Zangroiz} Loiu; Bizkaia; País Vasco,43.2919852,-2.9386667
{Boca de Oroña} Outes; A Coruña; Galicia,42.85042809999999,-8.9268962
{Disseminats Mar Ponent} Premià de Dalt; Barcelona; Cataluña,41.49954779999999,2.3674274
{Pla de Baix} Sant Joan les Fonts; Girona; Cataluña,42.2122269,2.5114166
{Els Terrers Blancs} Les Coves de Vinromà; Castelló/Castellón; Comunitat Valenciana,40.0443867,0.0638746
{Puentes de Piedralá} Porzuna; Ciudad Real; Castilla - La Mancha,39.2380024,-4.2265093
"{Añerdi Auzoa} Sunbilla; Navarra; Navarra, Comunidad Foral de",43.1700814,-1.6712185
{El Pargo} Salobreña; Granada; Andalucía,36.7446079,-3.6121765
{Camiño Do Santo} Lugo; Lugo; Galicia,42.72680039999999,-7.021413799999999
{Montemayor} Benahavís; Málaga; Andalucía,36.5230488,-5.0461385
"{La Carrera} Villaviciosa; Asturias; Asturias, Principado de",43.4921073,-5.4899517
{Os Abetos} Santiago de Compostela; A Coruña; Galicia,42.8849097,-8.5047587
{El Clot de la Plana} Riudaura; Girona; Cataluña,42.1888537,2.4085624
{Fondo Do Val} Monfero; A Coruña; Galicia,43.30887999999999,-7.9802601
{Urbanización los Olivos} Huéneja; Granada; Andalucía,37.236111,-3.610278
{Les Bordes d'Arfa} Ribera d'Urgellet; Lleida; Cataluña,42.3319363,1.4153882
"{Ferreros} Piloña; Asturias; Asturias, Principado de",43.3363001,-5.380973200000001
{Barrio Armentera} Castejón del Puente; Huesca; Aragón,41.9365944,0.1624265
{A Barreira} Lugo; Lugo; Galicia,42.848004,-7.8013208
"{Finca Señorita} Molina de Segura; Murcia; Murcia, Región de",38.0250595,-1.1912285
"{Bidasoa Mendebalde Auzoa} Sunbilla; Navarra; Navarra, Comunidad Foral de",43.1643779,-1.6706031
{Chao Real} San Cristovo de Cea; Ourense; Galicia,42.4675628,-7.9861944
{O Amial e O Charco} Ponteareas; Pontevedra; Galicia,42.1399802,-8.2646092
{Arnelas} Vilanova de Arousa; Pontevedra; Galicia,42.5376656,-8.756008099999999
{O Amial e O Charco} Ponteareas; Pontevedra; Galicia,42.1399802,-8.2646092
{O Amial e O Charco} Ponteareas; Pontevedra; Galicia,42.1399802,-8.2646092
{Camiño Da Costa} Lugo; Lugo; Galicia,42.9927457,-7.537586699999999
{El Cigarrón} Carboneras; Almería; Andalucía,36.9964039,-1.8934451
{O Barbeito} O Porriño; Pontevedra; Galicia,NA,NA
{A Portela} Santiago de Compostela; A Coruña; Galicia,42.9202483,-8.589101
{Correa} Montmajor; Barcelona; Cataluña,42.0336639,1.7182422
{La Querosa} Sant Pere Sallavinera; Barcelona; Cataluña,41.7357681,1.555365
{A Calzada} Padrón; A Coruña; Galicia,NA,NA
{O Pontillón} Santiago de Compostela; A Coruña; Galicia,42.8977636,-8.4421767
{Veïnat d'Arnera} Darnius; Girona; Cataluña,42.3669269,2.8321473
"{Askin Auzoa} Sunbilla; Navarra; Navarra, Comunidad Foral de",43.17138569999999,-1.6727266
"{Sellón} Piloña; Asturias; Asturias, Principado de",43.3043966,-5.401952199999999
{Peitieiras} Ponteareas; Pontevedra; Galicia,42.1756174,-8.5064757
{Entrepinos} Chiva; València/Valencia; Comunitat Valenciana,39.549468,-0.5128237
{Veïnat d'Arnera} Darnius; Girona; Cataluña,42.3669269,2.8321473
{Barrio Arriba} Valle de Mena; Burgos; Castilla y León,43.1175381,-3.1863296
{Conces} Neda; A Coruña; Galicia,43.4799115,-8.1660912
{Albarde} Santiago de Compostela; A Coruña; Galicia,42.8977911,-8.438298699999999
{La Riera} Maià de Montcal; Girona; Cataluña,42.2213489,2.7446554
{A Devesa} Lugo; Lugo; Galicia,42.898942,-7.693095499999999
"{El Pidal} Villaviciosa; Asturias; Asturias, Principado de",43.48276329999999,-5.433004
{Carretera d'Igualada} Manresa; Barcelona; Cataluña,41.704642,1.802606
{Os Muíños} Boiro; A Coruña; Galicia,42.646424,-8.8940273
{El Puig} Castellvell del Camp; Tarragona; Cataluña,41.1834077,1.0820728
{Puig de Vidre} Olesa de Bonesvalls; Barcelona; Cataluña,41.34923730000001,1.8345921
{La Frau} Santa Maria d'Oló; Barcelona; Cataluña,41.8962079,2.0311246
{As Camposas} Outes; A Coruña; Galicia,43.3623436,-8.4115401
{A Longra} San Sadurniño; A Coruña; Galicia,43.4974803,-8.088800899999999
{Poble} Palafrugell; Girona; Cataluña,41.919011,3.1696678
{Barrio Nuevo} Cúllar; Granada; Andalucía,37.599722,-2.460278
{Vilar de Riba} Castro de Rei; Lugo; Galicia,43.2086787,-7.401061299999999
{Carretera de Arriba} Sarria; Lugo; Galicia,42.78991860000001,-7.3942497
{El Peto} Valle Gran Rey; Santa Cruz de Tenerife; Canarias,28.0849625,-17.3338839
{El Molí} Sant Antoni de Vilamajor; Barcelona; Cataluña,41.6514203,2.3841309
{Vilanova} Valdoviño; A Coruña; Galicia,43.3673064,-8.4041296
{A Ferrería} As Nogais; Lugo; Galicia,42.8168479,-7.114196
{Conceado} Quiroga; Lugo; Galicia,42.494029,-7.3468687
"{El Valle} Oviedo; Asturias; Asturias, Principado de",43.3665363,-5.8526411
{A Boullosa} Vilaboa; Pontevedra; Galicia,42.4304599,-8.63987
{Carballal} Vilaboa; Pontevedra; Galicia,NA,NA
{Bellavista} Puigdàlber; Barcelona; Cataluña,41.4044174,1.6946368
{Pla del Bugantó} Llambilles; Girona; Cataluña,41.9213427,2.8591701
{Estany} Maçanet de la Selva; Girona; Cataluña,41.7801577,2.7325252
{Panoramar} El Port de la Selva; Girona; Cataluña,42.3328184,3.1948644
{La Dreta del Fluvià} La Vall d'en Bas; Girona; Cataluña,NA,NA
{O Merendeiro} Guitiriz; Lugo; Galicia,43.24915,-7.84552
"{La Caleyina} Mieres; Asturias; Asturias, Principado de",43.248802,-5.772529
{Pla del Bugantó} Llambilles; Girona; Cataluña,41.9213427,2.8591701
{Sant Andreu-Farners} Capolat; Barcelona; Cataluña,41.44226,2.19079
{Sant Andreu-Farners} Capolat; Barcelona; Cataluña,41.44226,2.19079
{Barri Ponent} Arenys de Munt; Barcelona; Cataluña,41.6093683,2.5408414
{Sant Andreu-Farners} Capolat; Barcelona; Cataluña,41.44226,2.19079
{El Gorner} Puigdàlber; Barcelona; Cataluña,41.40626,1.70093
{A Agra} Miño; A Coruña; Galicia,NA,NA
{O Portádego} Neda; A Coruña; Galicia,43.5120997,-8.1502612
{Castell Madeleine} Calonge i Sant Antoni; Girona; Cataluña,41.8637896,3.0726468
{Charcón Higuera} Cúllar; Granada; Andalucía,37.5828301,-2.5705729
{Els Torrents} Lladurs; Lleida; Cataluña,42.0501796,1.6297288
{Urbanització Les Planes} Mont-roig del Camp; Tarragona; Cataluña,41.0467737,0.9539002999999999
{Urbanització Aguas Perdidas} Cheste; València/Valencia; Comunitat Valenciana,39.4934832,-0.6856076
{O Portádego} Neda; A Coruña; Galicia,43.5120997,-8.1502612
{Urbanització Aguas Perdidas} Cheste; València/Valencia; Comunitat Valenciana,39.4934832,-0.6856076
{Martín de Arriba} Begonte; Lugo; Galicia,43.13861,-7.666449999999999
"{Bidasoa Ekialde Auzoa} Sunbilla; Navarra; Navarra, Comunidad Foral de",43.1643779,-1.6706031
"{Mendaur Auzoa} Sunbilla; Navarra; Navarra, Comunidad Foral de",43.17138569999999,-1.6727266
"{La Barraca} Villaviciosa; Asturias; Asturias, Principado de",43.4793946,-5.4336807
{As Cocheiras} Pontevedra; Pontevedra; Galicia,42.4298846,-8.6446202
{Urbanización Cerro San Cristobal} Écija; Sevilla; Andalucía,37.546139,-5.0833327
{Els Suvians} Castellvell del Camp; Tarragona; Cataluña,41.187811,1.0897511
{La Vega} Ayora; València/Valencia; Comunitat Valenciana,39.47396820000001,-0.3703676
{O Souto} Miño; A Coruña; Galicia,43.2872604,-8.359074099999999
{La Vespa} Morella; Castelló/Castellón; Comunitat Valenciana,40.6061795,-0.1860163
{El Pla d'Avall} Vistabella del Maestrat; Castelló/Castellón; Comunitat Valenciana,40.2934811,-0.2928412
{Las Ventas} Zorita del Maestrazgo; Castelló/Castellón; Comunitat Valenciana,40.7287627,-0.1665442
{O Pulo} Miño; A Coruña; Galicia,43.3580322,-8.1763874
{Xebre} Ribeira; A Coruña; Galicia,42.5540645,-8.9922481
{A Ponte Sarela} Santiago de Compostela; A Coruña; Galicia,42.879351,-8.5603495
{Seixos} Teo; A Coruña; Galicia,42.7984876,-8.5640919
"{Aritzeder Auzoa} Sunbilla; Navarra; Navarra, Comunidad Foral de",43.17138569999999,-1.6727266
{A Torre} San Sadurniño; A Coruña; Galicia,43.4974803,-8.088800899999999
{Lagoa} Santiago de Compostela; A Coruña; Galicia,42.8906634,-8.4817691
{A Ventisca} Guitiriz; Lugo; Galicia,43.1809063,-7.894223499999999
{A Seara} A Bola; Ourense; Galicia,42.2495868,-8.013112399999999
{San Xiao} Celanova; Ourense; Galicia,NA,NA
"{Arayón} Cangas del Narcea; Asturias; Asturias, Principado de",43.1773837,-6.5498404
"{Murias de Pontarás} Cangas del Narcea; Asturias; Asturias, Principado de",NA,NA
{O Caeiro} O Porriño; Pontevedra; Galicia,NA,NA
{San Xiao} Celanova; Ourense; Galicia,NA,NA
{Polígono Industrial} Arboleas; Almería; Andalucía,37.354131,-2.095438
{Raval del Bonaire} Vacarisses; Barcelona; Cataluña,41.3784206,2.1712328
{La Riera} Olocau del Rey; Castelló/Castellón; Comunitat Valenciana,40.6373591,-0.3401287
{O Enxerto} San Sadurniño; A Coruña; Galicia,43.5378127,-8.070004599999999
{O Funchal} Valdoviño; A Coruña; Galicia,NA,NA
{La Coma} L'Escala; Girona; Cataluña,42.1198504,3.1227702
{Vilar de Baixo} Castro de Rei; Lugo; Galicia,43.2086787,-7.401061299999999
"{Río Segura} Moratalla; Murcia; Murcia, Región de",38.1893185,-1.891609
{O Falcato} O Porriño; Pontevedra; Galicia,42.1608459,-8.6177291
{Bailadero} Garafía; Santa Cruz de Tenerife; Canarias,28.7906487,-17.9176312
{Sorreig} Sobremunt; Barcelona; Cataluña,42.0424742,2.1510875
{Barrio Abajo} Valle de Mena; Burgos; Castilla y León,43.1065358,-3.4361227
{Las Lomas} Olocau del Rey; Castelló/Castellón; Comunitat Valenciana,40.6373591,-0.3401287
{A Avesada} Miño; A Coruña; Galicia,43.3475071,-8.207982
{Vilafiunce} San Sadurniño; A Coruña; Galicia,43.5356271,-8.057429899999999
{Urbanització Cantallops} Begur; Girona; Cataluña,42.4196067,2.9207883
{Urbanització Sector Sud d'Aiguablava} Begur; Girona; Cataluña,41.9339911,3.2161116
{Mirambell} Bassella; Lleida; Cataluña,41.96800169999999,1.2684354
{O Monte} Cospeito; Lugo; Galicia,NA,NA
{Ribas} Maside; Ourense; Galicia,NA,NA
"{Reguerines} Langreo; Asturias; Asturias, Principado de",43.307823,-5.6958195
{El Cazuelo} Zaragoza; Zaragoza; Aragón,41.6493167,-0.9048824999999999
{Sorreig} Sobremunt; Barcelona; Cataluña,42.0424742,2.1510875
{Can Termens} Els Hostalets de Pierola; Barcelona; Cataluña,41.5338156,1.7641087
{Vallehermoso} Valle de Mena; Burgos; Castilla y León,43.1598024,-3.2458884
{Llano de la Cañada} Villahermosa del Río; Castelló/Castellón; Comunitat Valenciana,40.2058715,-0.4313729
{La Foia d'Ores} Vistabella del Maestrat; Castelló/Castellón; Comunitat Valenciana,40.2934811,-0.2928412
{Quenllo} Ordes; A Coruña; Galicia,43.0759534,-8.4081831
{Cap de Creus} El Port de la Selva; Girona; Cataluña,42.3427663,3.202891
{Armàncies} Ribes de Freser; Girona; Cataluña,42.3057487,2.1683571
{Veinat del Comalet} Vilallonga de Ter; Girona; Cataluña,42.330224,2.3119503
{Cañadas} Castril; Granada; Andalucía,37.800556,-2.824444
{Moron I Mola} Canejan; Lleida; Cataluña,42.8122428,0.8008388
{O Carballo} Abadín; Lugo; Galicia,43.3631827,-7.475770199999999
{A Chan de Souto} Crecente; Pontevedra; Galicia,NA,NA
{A Teixugueira} Salvaterra de Miño; Pontevedra; Galicia,42.2086424,-8.7573749
{Veinat del Comalet} Vilallonga de Ter; Girona; Cataluña,42.330224,2.3119503
{Moron i Mola} Canejan; Lleida; Cataluña,42.8122428,0.8008388
{La Riera} Villahermosa del Río; Castelló/Castellón; Comunitat Valenciana,40.20282359999999,-0.4180135
{Can Mensa} Sant Martí de Tous; Barcelona; Cataluña,41.5649535,1.522914
{San Juan} Valle de Mena; Burgos; Castilla y León,43.0931051,-3.3533606
{Espiñeiro} Boimorto; A Coruña; Galicia,43.3837447,-8.3413564
{A Matosa} A Laracha; A Coruña; Galicia,43.2386418,-8.5228635
{A Fervenza} Neda; A Coruña; Galicia,NA,NA
{A Praga} Noia; A Coruña; Galicia,NA,NA
{A Casavella} Ordes; A Coruña; Galicia,43.081169,-8.4046583
{Cancelo} Outes; A Coruña; Galicia,NA,NA
{A Central} Outes; A Coruña; Galicia,42.8504082,-8.9268893
{O Pinar} Ribadeo; Lugo; Galicia,43.5437355,-7.080492
{Carretera de Abaixo} Sarria; Lugo; Galicia,42.7750794,-7.4072397
{Almuzada} Amoeiro; Ourense; Galicia,42.4144303,-7.946068700000001
"{Los Col.laos} Aller; Asturias; Asturias, Principado de",43.175248,-5.7517488
"{Peredi} Villaviciosa; Asturias; Asturias, Principado de",43.4813957,-5.4331929
{As Gándaras} A Estrada; Pontevedra; Galicia,42.6898712,-8.490966700000001
{Los Rosales II} El Viso de San Juan; Toledo; Castilla - La Mancha,40.1454982,-3.9160905
{Arandia} Iurreta; Bizkaia; País Vasco,43.1785868,-2.6490288
{A Fervenza} Neda; A Coruña; Galicia,NA,NA
{A Casavella} Ordes; A Coruña; Galicia,43.081169,-8.4046583
{Clot de la Bleda} Castellolí; Barcelona; Cataluña,41.3328294,1.6893657
{Señorío de Vivanco} Valle de Mena; Burgos; Castilla y León,43.09055,-3.3504999
{A Chabola} San Sadurniño; A Coruña; Galicia,43.5356271,-8.057429899999999
{A Capela} Touro; A Coruña; Galicia,42.837197,-8.2777978
{Mas Artigues} Calonge i Sant Antoni; Girona; Cataluña,41.8261409,3.0649073
{Moixons} Molló; Girona; Cataluña,42.344241,2.411681
{La Vista} El Port de la Selva; Girona; Cataluña,42.33778,3.19071
{Urbanització Pescadors} Torres de Segre; Lleida; Cataluña,41.5352427,0.5136163
{Perrá} Palas de Rei; Lugo; Galicia,42.8734666,-7.868758799999999
"{Bárzana} Cangas del Narcea; Asturias; Asturias, Principado de",43.1773837,-6.5498404
"{Las Barzaniel.las} Cangas del Narcea; Asturias; Asturias, Principado de",43.15784499999999,-6.540407999999999
"{H.uentes} Piloña; Asturias; Asturias, Principado de",43.4067062,-5.3420269
"{El Llugarín de Baxo} San Martín del Rey Aurelio; Asturias; Asturias, Principado de",43.2753789,-5.604966
"{Los Casares} Villaviciosa; Asturias; Asturias, Principado de",43.4949129,-5.3668776
{As Quintas} Crecente; Pontevedra; Galicia,42.1586947,-8.241978099999999
{A Capela} Touro; A Coruña; Galicia,42.837197,-8.2777978
{El Molino de la Junta} Carboneras; Almería; Andalucía,37.061403,-1.877511
{El Pla d'Amunt} Vistabella del Maestrat; Castelló/Castellón; Comunitat Valenciana,40.2937882,-0.2945447
{El Moli} Planoles; Girona; Cataluña,NA,NA
{Sant Martí de Rialb} La Baronia de Rialb; Lleida; Cataluña,42.0126088,1.1929114
